,Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group,Impact Short
39,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",180.57172896462464,176.50755094277793,-4.064178021846715,-2.250727755197447,180.5717879911283,176.42613841988444,-4.145649571243865,-2.2958456674569483,-0.081412522893487,-0.0,SSP1,Nickel,human toxicity
40,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.242645947713594,0.2305016533825409,-0.012144294331053102,-5.004944218309206,0.2426461146445481,0.2305017282912628,-0.012144386353285297,-5.004978699566482,7.490872191984188e-08,-0.0,SSP1,Nickel,marine eutrophication
41,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'climate change', 'GWP100')",30.48382447816364,19.934297886756063,-10.549526591407577,-34.60696540542175,30.483892140952683,19.934348689736645,-10.549543451216039,-34.606943898228685,5.080298058146582e-05,0.0,SSP1,Nickel,climate change
42,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",0.2395468110167625,0.2148100970969039,-0.0247367139198586,-10.32646346443227,0.2395469538672323,0.2147776956228679,-0.024769258244364406,-10.340043087374278,-3.240147403602012e-05,-0.0,SSP1,Nickel,particulate matter formation
43,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",1.6037420418079344,4.618929982803305,3.0151879409953706,188.009534101649,1.6037678098992525,4.618962282238329,3.015194472339077,188.0069205609314,3.229943502436328e-05,-0.0,SSP1,Nickel,agricultural land occupation
44,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.0462257667143365,0.0406370756823367,-0.0055886910319997984,-12.08999099254857,0.0462257772929266,0.0406370960985287,-0.005588681194397906,-12.089966944164457,2.0416191993943844e-08,0.0,SSP1,Nickel,freshwater eutrophication
45,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",79.80299665553041,79.92523669821409,0.1222400426836856,0.15317725875800714,79.80299976137557,79.9252461157896,0.12224635441403109,0.15318516193572712,9.417575512316034e-06,0.0,SSP1,Nickel,metal depletion
46,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",0.8567319511928039,0.7628037689763091,-0.0939281822164948,-10.963543741507623,0.8567323165364665,0.7626608235021742,-0.0940714930342923,-10.980266673562346,-0.00014294547413484793,-0.0,SSP1,Nickel,terrestrial acidification
47,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.5769035944633412,0.5442839963763988,-0.03261959808694237,-5.654254610302164,0.576905173764511,0.5442855611776617,-0.03261961258684931,-5.654241644947429,1.5648012628988184e-06,0.0,SSP1,Nickel,water depletion
48,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",1.5017988639579851,1.5981405069581227,0.09634164300013759,6.415082958994227,1.501816509716565,1.5981547165230958,0.09633820680653082,6.414778781777579,1.42095649731111e-05,-0.0,SSP1,Nickel,urban land occupation
49,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",1.8153583710284755,1.1815996967835969,-0.6337586742448786,-34.910940140476406,1.8153573798695617,1.181602749253282,-0.6337546306162798,-34.91073645575048,3.05246968501649e-06,0.0,SSP1,Nickel,ionising radiation
50,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'fossil depletion', 'FDP')",11.548975635900351,8.889212816778008,-2.659762819122344,-23.030292062045643,11.548994702074058,8.889234426596712,-2.659760275477346,-23.030232016641982,2.160981870424905e-05,0.0,SSP1,Nickel,fossil depletion
51,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater ecotoxicity', 'FETPinf')",14.277630011905527,14.2612152159423,-0.016414795963227036,-0.1149686323958487,14.27763117911325,14.255360376415275,-0.022270802697974545,-0.1559838772873928,-0.005854839527025035,-0.0,SSP1,Nickel,freshwater ecotoxicity
52,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'marine ecotoxicity', 'METPinf')",12.370803277309813,12.344048596778084,-0.026754680531729136,-0.2162727830358586,12.370805245184108,12.343069229928124,-0.027736015255984015,-0.22420541513885286,-0.0009793668499593622,-0.0,SSP1,Nickel,marine ecotoxicity
53,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'ozone depletion', 'ODPinf')",2.801062219410853e-06,2.5009324847445807e-06,-3.0012973466627227e-07,-10.714854264443956,2.801086127591213e-06,2.500955508641895e-06,-3.001306189493179e-07,-10.714794378972362,2.3023897314282475e-11,0.0,SSP1,Nickel,ozone depletion
54,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.0006591129102878,0.000630506171183,-2.8606739104799963e-05,-4.34018794933161,0.0006591284611633,0.000630519161243,-2.8609299920299936e-05,-4.340474066285531,1.2990059999992871e-08,-0.0,SSP1,Nickel,terrestrial ecotoxicity
55,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0006081925116415,0.0006562669725918,4.807446095030001e-05,7.904480905321895,0.0006081917242179,0.0006562666556712,4.807493145330007e-05,7.904568500191564,-3.169206000061542e-10,0.0,SSP1,Nickel,natural land transformation
56,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.003394203224952,0.0036716567237095,0.00027745349875750013,8.174333720439613,0.0033942090179693,0.003671657881636,0.0002774488636666998,8.17418321022236,1.1579264999096728e-09,-0.0,SSP1,Nickel,photochemical oxidant formation
57,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",2.49877116905948,2.5212813734403445,0.022510204380864707,0.9008509726537861,2.498772795674581,2.521283447324998,0.02251065165041677,0.900868285799457,2.0738846533419064e-06,0.0,SSP1,Nickel,human toxicity
58,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.0013337264899734,0.0014457910603781,0.00011206457040469986,8.402365196100655,0.0013337310901512,0.0014457932616796,0.0001120621715284,8.40215635339924,2.2013015000231506e-09,-0.0,SSP1,Nickel,marine eutrophication
59,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'climate change', 'GWP100')",0.4914102713521511,0.4587097078032818,-0.0327005635488693,-6.654432244342659,0.49141213596055,0.4587133656806649,-0.0326987702798851,-6.6540420732527705,3.6578773831008604e-06,0.0,SSP1,Nickel,climate change
60,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",0.0012726322698449,0.0013179589005519,4.532663070699991e-05,3.5616439863279616,0.0012726362064279,0.0013179625541985,4.5326347770600125e-05,3.561610736961855,3.6536466001095558e-09,-0.0,SSP1,Nickel,particulate matter formation
61,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",0.0365581127199992,0.1438557674285392,0.10729765470854,293.49888909840405,0.0365588228207824,0.143856598589543,0.1072977757687606,293.493519456993,8.311610038003181e-07,-0.0,SSP1,Nickel,agricultural land occupation
62,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.0016973806754185,0.0017350010285213,3.7620353102799965e-05,2.2163768945657654,0.0016973809669366,0.0017350015538909,3.762058695429998e-05,2.2163902911081226,5.253696000375591e-10,0.0,SSP1,Nickel,freshwater eutrophication
63,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",5.024153174120162,5.025406500858204,0.0012533267380421265,0.024946029601528044,5.024153259709057,5.025406743200569,0.0012534834915118864,0.0249491491743322,2.423423648423295e-07,0.0,SSP1,Nickel,metal depletion
64,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",0.0028663469817812,0.0029971391121975,0.0001307921304163004,4.563025036662651,0.0028663570496911,0.0029971450786017,0.00013078802891059978,4.562865918071667,5.966404199690689e-09,-0.0,SSP1,Nickel,terrestrial acidification
65,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.0162215460565019,0.0160819009495004,-0.00013964510700149868,-0.8608618840343292,0.0162215895778859,0.016081941216514,-0.00013964836137190031,-0.8608796363722337,4.026701359849394e-08,-0.0,SSP1,Nickel,water depletion
66,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",0.0648842202572332,0.0702684066491533,0.005384186391920107,8.298144557450986,0.0648847065279016,0.0702687723037314,0.005384065775829797,8.297896475056955,3.65654578088348e-07,-0.0,SSP1,Nickel,urban land occupation
67,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",0.0261175460347379,0.0194759188411215,-0.006641627193616398,-25.429752032532598,0.0261175187210059,0.0194759973902917,-0.0066415213307142,-25.429373294073805,7.854917019947671e-08,0.0,SSP1,Nickel,ionising radiation
68,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'fossil depletion', 'FDP')",0.1245353776703198,0.1125455918028489,-0.011989785867470903,-9.627614330773735,0.1245359030838913,0.1125461478880742,-0.011989755195817103,-9.627549083367892,5.560852252978199e-07,0.0,SSP1,Nickel,fossil depletion
69,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'freshwater ecotoxicity', 'FETPinf')",1.1059416742634678,1.107155167632602,0.001213493369134122,0.10972489755775605,1.1059417064286423,1.1071552595994216,0.0012135531707793135,0.10973030167188243,9.196681971523901e-08,0.0,SSP1,Nickel,freshwater ecotoxicity
70,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'marine ecotoxicity', 'METPinf')",1.009933404086048,1.0110536331248554,0.0011202290388074854,0.11092107997172852,1.0099334583154846,1.0110537410670433,0.0011202827515586211,0.11092639246027092,1.0794218785470377e-07,0.0,SSP1,Nickel,marine ecotoxicity
71,"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'ozone depletion', 'ODPinf')",5.5166486245770284e-08,4.4424538852078386e-08,-1.0741947393691898e-08,-19.471871646556977,5.5167145092302236e-08,4.4425131325772876e-08,-1.074201376652936e-08,-19.471759411433183,5.92473694490471e-13,0.0,SSP1,Nickel,ozone depletion
72,processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.0112115667778246,0.0097749786760308,-0.0014365881017938016,-12.813446418882634,0.0112117941626019,0.009775165748516,-0.0014366284140858998,-12.813546103779917,1.870724852005845e-07,-0.0,SSP1,Nickel,terrestrial ecotoxicity
73,processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0045874520499025,0.0047503801654514,0.0001629281155489,3.5516036740343218,0.0045874405362005,0.0047503756014128,0.0001629350652123003,3.5517640812244644,-4.564038600177178e-09,0.0,SSP1,Nickel,natural land transformation
74,processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.0298225717699189,0.0301304474377054,0.0003078756677865023,1.0323578736326386,0.0298226564753714,0.03013046411324,0.00030780763786859844,1.0321268265380612,1.6675534598997732e-08,-0.0,SSP1,Nickel,photochemical oxidant formation
75,processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",18.139954615884463,18.1396976172761,-0.00025699860836425614,-0.0014167544175618405,18.139978400237545,18.139727483709123,-0.00025091652842235135,-0.0013832239646937262,2.9866433024494654e-05,0.0,SSP1,Nickel,human toxicity
76,processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.0124725209451095,0.0124094549839531,-6.30659611564003e-05,-0.5056392483440053,0.0124725882088727,0.0124094866853426,-6.310152353010065e-05,-0.5059216457191439,3.1701389499594335e-08,-0.0,SSP1,Nickel,marine eutrophication
77,processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'climate change', 'GWP100')",5.366299478087857,4.656054035080909,-0.710245443006948,-13.235292698573463,5.366326742377057,4.656106712914116,-0.710220029462941,-13.234751880731427,5.267783320661579e-05,0.0,SSP1,Nickel,climate change
