Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",0.1929462709892969,0.1800068394066171,-0.012939431582679795,-6.706235635617737,0.1929474765184518,0.1376567645762524,-0.055290711942199394,-28.65583574341895,-0.04235007483036471,-21.949600107801214,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.0870271395952046,0.0832344691367835,-0.0037926704584210907,-4.358031846228893,0.0870270517832301,0.0832343088161559,-0.0037927429670742002,-4.358119560939847,-1.6032062760684695e-07,-8.77147109541454e-05,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",0.3317534367384744,0.3414474392623067,0.00969400252383229,2.9220503694357203,0.3317530571601421,0.341446331333556,0.009693274173413924,2.9218341667714722,-1.107928750687659e-06,-0.00021620266424804413,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",0.2180898052679178,0.1355119946575234,-0.0825778106103944,-37.86413147966713,0.2180637133732843,0.1355043382068037,-0.08255937516648063,-37.86020786739259,-7.656450719706331e-06,0.003923612274540744,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'fossil depletion', 'FDP')",1.3696818913062576,1.0072848537680292,-0.3623970375382284,-26.458482063496692,1.3696426352610072,1.007222935494085,-0.36241969976692223,-26.46089501279707,-6.191827394430582e-05,-0.0024129493003783864,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater ecotoxicity', 'FETPinf')",3.4611004333859867,3.456219746438897,-0.004880686947089874,-0.14101546721991853,3.461100117300499,3.453623607245412,-0.007476510055087093,-0.21601542289156409,-0.002596139193484781,-0.07499995567164555,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'marine ecotoxicity', 'METPinf')",2.995894299331897,2.9897721157175936,-0.006122183614303278,-0.2043524571500591,2.9958941145518088,2.9893209188384966,-0.006573195713312163,-0.2194068101867988,-0.00045119687909700446,-0.015054353036739715,SSP1,Nickel
"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'ozone depletion', 'ODPinf')",2.948582019203953e-07,2.718237195859714e-07,-2.3034482334423875e-08,-7.812054127849101,2.9484748129551825e-07,2.71812606778552e-07,-2.3034874516966244e-08,-7.812471185358021,-1.1112807419408539e-11,-0.0004170575089199602,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.0249557805605674,0.0261494468942438,0.001193666333676402,4.783125620051784,0.0249555166245011,0.0260367452442029,0.0010812286197018003,4.332623667827657,-0.00011270165004089935,-0.45050195222412714,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0549401936967838,0.0543111895347495,-0.0006290041620343051,-1.1448888686228402,0.0549405358679619,0.0543114798234765,-0.0006290560444854043,-1.1449761720511957,2.902887270006538e-07,-8.730342835550076e-05,SSP1,Nickel
